time,realization,lat,lon,experimentVersionNumber,sro
1996-03-01 06:00:00,0,49.75,12.75,0001,0.10681152
1996-04-01 06:00:00,0,49.75,12.75,0001,0.030517578
1996-05-01 06:00:00,0,49.75,12.75,0001,0.11730194
1996-06-01 06:00:00,0,49.75,12.75,0001,0.07247925
1996-07-01 06:00:00,0,49.75,12.75,0001,0.12207031
1996-08-01 06:00:00,0,49.75,12.75,0001,0.07247925
1996-09-01 06:00:00,0,49.75,12.75,0001,0.020980835
1996-10-01 06:00:00,0,49.75,12.75,0001,0.104904175
1996-11-01 06:00:00,0,49.75,12.75,0001,0.022888184
1996-12-01 06:00:00,0,49.75,12.75,0001,0.016212463
1997-01-01 06:00:00,0,49.75,12.75,0001,0.0076293945
1997-02-01 06:00:00,0,49.75,12.75,0001,0.20313263
1997-03-01 06:00:00,0,49.75,12.75,0001,0.031471252
1997-04-01 06:00:00,0,49.75,12.75,0001,0.022888184
1997-05-01 06:00:00,0,49.75,12.75,0001,0.015258789
1997-06-01 06:00:00,0,49.75,12.75,0001,0.019073486
1997-07-01 06:00:00,0,49.75,12.75,0001,0.09346008
1997-08-01 06:00:00,0,49.75,12.75,0001,0.022888184
1997-09-01 06:00:00,0,49.75,12.75,0001,0.0038146973
1997-10-01 06:00:00,0,49.75,12.75,0001,0.01335144
1997-11-01 06:00:00,0,49.75,12.75,0001,0.0104904175
1997-12-01 06:00:00,0,49.75,12.75,0001,0.022888184
1998-01-01 06:00:00,0,49.75,12.75,0001,0.015258789
1998-02-01 06:00:00,0,49.75,12.75,0001,0.01335144
1998-03-01 06:00:00,0,49.75,12.75,0001,0.034332275
1998-04-01 06:00:00,0,49.75,12.75,0001,0.015258789
1998-05-01 06:00:00,0,49.75,12.75,0001,0.011444092
1998-06-01 06:00:00,0,49.75,12.75,0001,0.038146973
1998-07-01 06:00:00,0,49.75,12.75,0001,0.030517578
1998-08-01 06:00:00,0,49.75,12.75,0001,0.0076293945
1998-09-01 06:00:00,0,49.75,12.75,0001,0.08773804
1998-10-01 06:00:00,0,49.75,12.75,0001,0.22125244
1998-11-01 06:00:00,0,49.75,12.75,0001,0.06484985
1998-12-01 06:00:00,0,49.75,12.75,0001,0.030517578
1999-01-01 06:00:00,0,49.75,12.75,0001,0.020980835
1999-02-01 06:00:00,0,49.75,12.75,0001,0.06866455
1999-03-01 06:00:00,0,49.75,12.75,0001,0.11062622
1999-04-01 06:00:00,0,49.75,12.75,0001,0.024795532
1999-05-01 06:00:00,0,49.75,12.75,0001,0.038146973
1999-06-01 06:00:00,0,49.75,12.75,0001,0.024795532
1999-07-01 06:00:00,0,49.75,12.75,0001,0.0705719
1999-08-01 06:00:00,0,49.75,12.75,0001,0.011444092
1999-09-01 06:00:00,0,49.75,12.75,0001,0.012397766
1999-10-01 06:00:00,0,49.75,12.75,0001,0.0104904175
1999-11-01 06:00:00,0,49.75,12.75,0001,0.017166138
1999-12-01 06:00:00,0,49.75,12.75,0001,0.02002716
2000-01-01 06:00:00,0,49.75,12.75,0001,0.1001358
2000-02-01 06:00:00,0,49.75,12.75,0001,0.05722046
2000-03-01 06:00:00,0,49.75,12.75,0001,0.10681152
2000-04-01 06:00:00,0,49.75,12.75,0001,0.020980835
2000-05-01 06:00:00,0,49.75,12.75,0001,0.017166138
2000-06-01 06:00:00,0,49.75,12.75,0001,0.009536743
2000-07-01 06:00:00,0,49.75,12.75,0001,0.032424927
2000-08-01 06:00:00,0,49.75,12.75,0001,0.022888184
2000-09-01 06:00:00,0,49.75,12.75,0001,0.016212463
2000-10-01 06:00:00,0,49.75,12.75,0001,0.049591064
2000-11-01 06:00:00,0,49.75,12.75,0001,0.02002716
2000-12-01 06:00:00,0,49.75,12.75,0001,0.012397766
2001-01-01 06:00:00,0,49.75,12.75,0001,0.04196167
2001-02-01 06:00:00,0,49.75,12.75,0001,0.08010864
2001-03-01 06:00:00,0,49.75,12.75,0001,0.1335144
2001-04-01 06:00:00,0,49.75,12.75,0001,0.04196167
2001-05-01 06:00:00,0,49.75,12.75,0001,0.023841858
2001-06-01 06:00:00,0,49.75,12.75,0001,0.071525574
2001-07-01 06:00:00,0,49.75,12.75,0001,0.04386902
2001-08-01 06:00:00,0,49.75,12.75,0001,0.022888184
2001-09-01 06:00:00,0,49.75,12.75,0001,0.05340576
2001-10-01 06:00:00,0,49.75,12.75,0001,0.02193451
2001-11-01 06:00:00,0,49.75,12.75,0001,0.047683716
2001-12-01 06:00:00,0,49.75,12.75,0001,0.015258789
2002-01-01 06:00:00,0,49.75,12.75,0001,0.23651123
2002-02-01 06:00:00,0,49.75,12.75,0001,0.13065338
2002-03-01 06:00:00,0,49.75,12.75,0001,0.08201599
2002-04-01 06:00:00,0,49.75,12.75,0001,0.017166138
2002-05-01 06:00:00,0,49.75,12.75,0001,0.058174133
2002-06-01 06:00:00,0,49.75,12.75,0001,0.06389618
2002-07-01 06:00:00,0,49.75,12.75,0001,0.049591064
2002-08-01 06:00:00,0,49.75,12.75,0001,0.32806396
2002-09-01 06:00:00,0,49.75,12.75,0001,0.038146973
2002-10-01 06:00:00,0,49.75,12.75,0001,0.10681152
2002-11-01 06:00:00,0,49.75,12.75,0001,0.12397766
2002-12-01 06:00:00,0,49.75,12.75,0001,0.05340576
2003-01-01 06:00:00,0,49.75,12.75,0001,0.104904175
2003-02-01 06:00:00,0,49.75,12.75,0001,0.009536743
2003-03-01 06:00:00,0,49.75,12.75,0001,0.036239624
2003-04-01 06:00:00,0,49.75,12.75,0001,0.008583069
2003-05-01 06:00:00,0,49.75,12.75,0001,0.019073486
2003-06-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2003-07-01 06:00:00,0,49.75,12.75,0001,0.017166138
2003-08-01 06:00:00,0,49.75,12.75,0001,0.0019073486
2003-09-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2003-10-01 06:00:00,0,49.75,12.75,0001,0.012397766
2003-11-01 06:00:00,0,49.75,12.75,0001,0.009536743
2003-12-01 06:00:00,0,49.75,12.75,0001,0.02002716
2004-01-01 06:00:00,0,49.75,12.75,0001,0.11920929
2004-02-01 06:00:00,0,49.75,12.75,0001,0.12683868
2004-03-01 06:00:00,0,49.75,12.75,0001,0.05340576
2004-04-01 06:00:00,0,49.75,12.75,0001,0.018119812
2004-05-01 06:00:00,0,49.75,12.75,0001,0.038146973
2004-06-01 06:00:00,0,49.75,12.75,0001,0.036239624
2004-07-01 06:00:00,0,49.75,12.75,0001,0.052452087
2004-08-01 06:00:00,0,49.75,12.75,0001,0.017166138
2004-09-01 06:00:00,0,49.75,12.75,0001,0.08010864
2004-10-01 06:00:00,0,49.75,12.75,0001,0.03528595
2004-11-01 06:00:00,0,49.75,12.75,0001,0.05531311
2004-12-01 06:00:00,0,49.75,12.75,0001,0.020980835
2005-01-01 06:00:00,0,49.75,12.75,0001,0.061035156
2005-02-01 06:00:00,0,49.75,12.75,0001,0.124931335
2005-03-01 06:00:00,0,49.75,12.75,0001,0.13542175
2005-04-01 06:00:00,0,49.75,12.75,0001,0.047683716
2005-05-01 06:00:00,0,49.75,12.75,0001,0.04386902
2005-06-01 06:00:00,0,49.75,12.75,0001,0.012397766
2005-07-01 06:00:00,0,49.75,12.75,0001,0.031471252
2005-08-01 06:00:00,0,49.75,12.75,0001,0.06484985
2005-09-01 06:00:00,0,49.75,12.75,0001,0.05340576
2005-10-01 06:00:00,0,49.75,12.75,0001,0.01335144
2005-11-01 06:00:00,0,49.75,12.75,0001,0.0076293945
2005-12-01 06:00:00,0,49.75,12.75,0001,0.023841858
2006-01-01 06:00:00,0,49.75,12.75,0001,0.0047683716
2006-02-01 06:00:00,0,49.75,12.75,0001,0.024795532
2006-03-01 06:00:00,0,49.75,12.75,0001,0.1039505
2006-04-01 06:00:00,0,49.75,12.75,0001,0.061035156
2006-05-01 06:00:00,0,49.75,12.75,0001,0.1039505
2006-06-01 06:00:00,0,49.75,12.75,0001,0.022888184
2006-07-01 06:00:00,0,49.75,12.75,0001,0.04386902
2006-08-01 06:00:00,0,49.75,12.75,0001,0.05531311
2006-09-01 06:00:00,0,49.75,12.75,0001,0.011444092
2006-10-01 06:00:00,0,49.75,12.75,0001,0.02002716
2006-11-01 06:00:00,0,49.75,12.75,0001,0.022888184
2006-12-01 06:00:00,0,49.75,12.75,0001,0.008583069
2007-01-01 06:00:00,0,49.75,12.75,0001,0.08106232
2007-02-01 06:00:00,0,49.75,12.75,0001,0.11444092
2007-03-01 06:00:00,0,49.75,12.75,0001,0.0333786
2007-04-01 06:00:00,0,49.75,12.75,0001,0.014305115
2007-05-01 06:00:00,0,49.75,12.75,0001,0.024795532
2007-06-01 06:00:00,0,49.75,12.75,0001,0.034332275
2007-07-01 06:00:00,0,49.75,12.75,0001,0.058174133
2007-08-01 06:00:00,0,49.75,12.75,0001,0.02861023
2007-09-01 06:00:00,0,49.75,12.75,0001,0.045776367
2007-10-01 06:00:00,0,49.75,12.75,0001,0.008583069
2007-11-01 06:00:00,0,49.75,12.75,0001,0.061035156
2007-12-01 06:00:00,0,49.75,12.75,0001,0.1296997
2008-01-01 06:00:00,0,49.75,12.75,0001,0.045776367
