time,realization,lat,lon,experimentVersionNumber,t2m
1999-08-01,0,50.75,15.75,0001,287.58264
1999-09-01,0,50.75,15.75,0001,287.01587
1999-10-01,0,50.75,15.75,0001,279.00977
1999-11-01,0,50.75,15.75,0001,272.84497
1999-12-01,0,50.75,15.75,0001,270.27698
2000-01-01,0,50.75,15.75,0001,268.90442
2000-02-01,0,50.75,15.75,0001,272.83472
2000-03-01,0,50.75,15.75,0001,273.71533
2000-04-01,0,50.75,15.75,0001,281.14807
2000-05-01,0,50.75,15.75,0001,285.65417
2000-06-01,0,50.75,15.75,0001,287.7362
2000-07-01,0,50.75,15.75,0001,286.21826
2000-08-01,0,50.75,15.75,0001,289.11194
2000-09-01,0,50.75,15.75,0001,283.50916
2000-10-01,0,50.75,15.75,0001,282.2699
2000-11-01,0,50.75,15.75,0001,276.7882
2000-12-01,0,50.75,15.75,0001,271.22412
2001-01-01,0,50.75,15.75,0001,269.56787
2001-02-01,0,50.75,15.75,0001,270.64343
2001-03-01,0,50.75,15.75,0001,272.7932
2001-04-01,0,50.75,15.75,0001,277.22632
2001-05-01,0,50.75,15.75,0001,284.9784
2001-06-01,0,50.75,15.75,0001,284.9336
2001-07-01,0,50.75,15.75,0001,289.14612
2001-08-01,0,50.75,15.75,0001,289.32556
2001-09-01,0,50.75,15.75,0001,282.26636
2001-10-01,0,50.75,15.75,0001,282.79602
2001-11-01,0,50.75,15.75,0001,272.6515
2001-12-01,0,50.75,15.75,0001,267.37866
2002-01-01,0,50.75,15.75,0001,269.85645
2002-02-01,0,50.75,15.75,0001,273.82324
2002-03-01,0,50.75,15.75,0001,274.3308
2002-04-01,0,50.75,15.75,0001,277.88538
2002-05-01,0,50.75,15.75,0001,286.6986
2002-06-01,0,50.75,15.75,0001,288.05762
2002-07-01,0,50.75,15.75,0001,289.52722
2002-08-01,0,50.75,15.75,0001,290.33618
2002-09-01,0,50.75,15.75,0001,283.3053
2002-10-01,0,50.75,15.75,0001,277.88428
2002-11-01,0,50.75,15.75,0001,275.31458
2002-12-01,0,50.75,15.75,0001,267.49805
2003-01-01,0,50.75,15.75,0001,268.09338
2003-02-01,0,50.75,15.75,0001,266.23816
2003-03-01,0,50.75,15.75,0001,273.7461
2003-04-01,0,50.75,15.75,0001,277.70264
2003-05-01,0,50.75,15.75,0001,285.7561
2003-06-01,0,50.75,15.75,0001,289.34485
2003-07-01,0,50.75,15.75,0001,289.13672
2003-08-01,0,50.75,15.75,0001,290.3059
2003-09-01,0,50.75,15.75,0001,284.67456
2003-10-01,0,50.75,15.75,0001,275.9348
2003-11-01,0,50.75,15.75,0001,276.3568
2003-12-01,0,50.75,15.75,0001,270.36572
2004-01-01,0,50.75,15.75,0001,266.44153
2004-02-01,0,50.75,15.75,0001,271.28125
2004-03-01,0,50.75,15.75,0001,273.3573
2004-04-01,0,50.75,15.75,0001,279.3783
2004-05-01,0,50.75,15.75,0001,282.30225
2004-06-01,0,50.75,15.75,0001,286.10046
2004-07-01,0,50.75,15.75,0001,287.812
2004-08-01,0,50.75,15.75,0001,288.89954
2004-09-01,0,50.75,15.75,0001,284.0083
2004-10-01,0,50.75,15.75,0001,280.37683
2004-11-01,0,50.75,15.75,0001,274.12134
2004-12-01,0,50.75,15.75,0001,270.41797
2005-01-01,0,50.75,15.75,0001,270.64673
2005-02-01,0,50.75,15.75,0001,267.7257
2005-03-01,0,50.75,15.75,0001,271.90625
2005-04-01,0,50.75,15.75,0001,279.875
2005-05-01,0,50.75,15.75,0001,284.0592
2005-06-01,0,50.75,15.75,0001,286.3296
2005-07-01,0,50.75,15.75,0001,288.92346
2005-08-01,0,50.75,15.75,0001,287.0912
2005-09-01,0,50.75,15.75,0001,285.4657
2005-10-01,0,50.75,15.75,0001,280.79785
2005-11-01,0,50.75,15.75,0001,272.85608
2005-12-01,0,50.75,15.75,0001,270.01257
2006-01-01,0,50.75,15.75,0001,265.5569
2006-02-01,0,50.75,15.75,0001,268.35193
2006-03-01,0,50.75,15.75,0001,270.9912
2006-04-01,0,50.75,15.75,0001,278.47998
2006-05-01,0,50.75,15.75,0001,283.74414
2006-06-01,0,50.75,15.75,0001,287.984
2006-07-01,0,50.75,15.75,0001,292.52246
2006-08-01,0,50.75,15.75,0001,286.53406
2006-09-01,0,50.75,15.75,0001,286.94202
2006-10-01,0,50.75,15.75,0001,281.41724
2006-11-01,0,50.75,15.75,0001,276.6554
2006-12-01,0,50.75,15.75,0001,273.75574
2007-01-01,0,50.75,15.75,0001,274.03162
2007-02-01,0,50.75,15.75,0001,272.83838
2007-03-01,0,50.75,15.75,0001,275.64673
2007-04-01,0,50.75,15.75,0001,281.18726
2007-05-01,0,50.75,15.75,0001,285.26904
2007-06-01,0,50.75,15.75,0001,288.85596
2007-07-01,0,50.75,15.75,0001,288.71558
2007-08-01,0,50.75,15.75,0001,288.49292
2007-09-01,0,50.75,15.75,0001,282.72546
2007-10-01,0,50.75,15.75,0001,278.4204
2007-11-01,0,50.75,15.75,0001,272.37427
2007-12-01,0,50.75,15.75,0001,269.94202
2008-01-01,0,50.75,15.75,0001,272.18665
2008-02-01,0,50.75,15.75,0001,273.21216
2008-03-01,0,50.75,15.75,0001,273.42676
2008-04-01,0,50.75,15.75,0001,278.52783
2008-05-01,0,50.75,15.75,0001,284.557
2008-06-01,0,50.75,15.75,0001,288.07263
2008-07-01,0,50.75,15.75,0001,288.81787
2008-08-01,0,50.75,15.75,0001,288.24792
2008-09-01,0,50.75,15.75,0001,283.12207
2008-10-01,0,50.75,15.75,0001,279.42957
2008-11-01,0,50.75,15.75,0001,275.65283
2008-12-01,0,50.75,15.75,0001,271.20886
2009-01-01,0,50.75,15.75,0001,267.2157
2009-02-01,0,50.75,15.75,0001,270.04614
2009-03-01,0,50.75,15.75,0001,273.6643
2009-04-01,0,50.75,15.75,0001,282.90063
2009-05-01,0,50.75,15.75,0001,283.9652
2009-06-01,0,50.75,15.75,0001,285.4176
2009-07-01,0,50.75,15.75,0001,289.14087
2009-08-01,0,50.75,15.75,0001,289.1753
2009-09-01,0,50.75,15.75,0001,285.69995
2009-10-01,0,50.75,15.75,0001,277.43848
2009-11-01,0,50.75,15.75,0001,276.66077
2009-12-01,0,50.75,15.75,0001,269.47473
2010-01-01,0,50.75,15.75,0001,265.63477
2010-02-01,0,50.75,15.75,0001,269.6621
2010-03-01,0,50.75,15.75,0001,272.73376
2010-04-01,0,50.75,15.75,0001,278.8451
2010-05-01,0,50.75,15.75,0001,282.3363
2010-06-01,0,50.75,15.75,0001,287.49194
2010-07-01,0,50.75,15.75,0001,291.0204
2010-08-01,0,50.75,15.75,0001,288.3855
2010-09-01,0,50.75,15.75,0001,282.73767
2010-10-01,0,50.75,15.75,0001,277.45886
2010-11-01,0,50.75,15.75,0001,275.60754
2010-12-01,0,50.75,15.75,0001,265.53418
2011-01-01,0,50.75,15.75,0001,269.77063
2011-02-01,0,50.75,15.75,0001,268.00916
2011-03-01,0,50.75,15.75,0001,274.41125
2011-04-01,0,50.75,15.75,0001,281.7561
2011-05-01,0,50.75,15.75,0001,284.0924
2011-06-01,0,50.75,15.75,0001,287.8341
2011-07-01,0,50.75,15.75,0001,287.60327
2011-08-01,0,50.75,15.75,0001,289.19214
2011-09-01,0,50.75,15.75,0001,286.1842
2011-10-01,0,50.75,15.75,0001,279.4751
2011-11-01,0,50.75,15.75,0001,274.85986
2011-12-01,0,50.75,15.75,0001,272.50854
2012-01-01,0,50.75,15.75,0001,270.3772
2012-02-01,0,50.75,15.75,0001,265.32153
2012-03-01,0,50.75,15.75,0001,275.58154
2012-04-01,0,50.75,15.75,0001,279.01038
2012-05-01,0,50.75,15.75,0001,285.41516
2012-06-01,0,50.75,15.75,0001,287.21252
2012-07-01,0,50.75,15.75,0001,289.41833
2012-08-01,0,50.75,15.75,0001,289.11023
2012-09-01,0,50.75,15.75,0001,284.6488
2012-10-01,0,50.75,15.75,0001,278.77173
2012-11-01,0,50.75,15.75,0001,275.87524
2012-12-01,0,50.75,15.75,0001,268.94873
2013-01-01,0,50.75,15.75,0001,268.36475
2013-02-01,0,50.75,15.75,0001,269.50317
2013-03-01,0,50.75,15.75,0001,269.12427
2013-04-01,0,50.75,15.75,0001,278.17993
2013-05-01,0,50.75,15.75,0001,283.55505
2013-06-01,0,50.75,15.75,0001,287.20752
2013-07-01,0,50.75,15.75,0001,290.29663
2013-08-01,0,50.75,15.75,0001,288.83313
2013-09-01,0,50.75,15.75,0001,282.9662
2013-10-01,0,50.75,15.75,0001,280.99988
2013-11-01,0,50.75,15.75,0001,275.29016
2013-12-01,0,50.75,15.75,0001,272.40796
2014-01-01,0,50.75,15.75,0001,270.60535
2014-02-01,0,50.75,15.75,0001,273.32068
2014-03-01,0,50.75,15.75,0001,277.6626
2014-04-01,0,50.75,15.75,0001,280.99756
2014-05-01,0,50.75,15.75,0001,283.21606
2014-06-01,0,50.75,15.75,0001,286.71216
2014-07-01,0,50.75,15.75,0001,290.5431
2014-08-01,0,50.75,15.75,0001,287.18555
2014-09-01,0,50.75,15.75,0001,285.73743
2014-10-01,0,50.75,15.75,0001,281.5475
2014-11-01,0,50.75,15.75,0001,277.4325
2014-12-01,0,50.75,15.75,0001,272.37305
2015-01-01,0,50.75,15.75,0001,271.72766
2015-02-01,0,50.75,15.75,0001,270.85608
2015-03-01,0,50.75,15.75,0001,274.89844
2015-04-01,0,50.75,15.75,0001,278.463
2015-05-01,0,50.75,15.75,0001,283.1455
2015-06-01,0,50.75,15.75,0001,286.34558
2015-07-01,0,50.75,15.75,0001,290.34277
2015-08-01,0,50.75,15.75,0001,292.234
2015-09-01,0,50.75,15.75,0001,284.4402
2015-10-01,0,50.75,15.75,0001,279.11816
2015-11-01,0,50.75,15.75,0001,277.1046
2015-12-01,0,50.75,15.75,0001,275.0044
2016-01-01,0,50.75,15.75,0001,268.86963
2016-02-01,0,50.75,15.75,0001,273.0736
2016-03-01,0,50.75,15.75,0001,273.6997
2016-04-01,0,50.75,15.75,0001,278.68384
2016-05-01,0,50.75,15.75,0001,284.74878
2016-06-01,0,50.75,15.75,0001,288.38
2016-07-01,0,50.75,15.75,0001,289.3573
2016-08-01,0,50.75,15.75,0001,287.8329
2016-09-01,0,50.75,15.75,0001,287.18103
2016-10-01,0,50.75,15.75,0001,278.8318
2016-11-01,0,50.75,15.75,0001,273.6399
2016-12-01,0,50.75,15.75,0001,270.6101
2017-01-01,0,50.75,15.75,0001,265.7157
2017-02-01,0,50.75,15.75,0001,272.09863
2017-03-01,0,50.75,15.75,0001,276.16443
2017-04-01,0,50.75,15.75,0001,277.61926
2017-05-01,0,50.75,15.75,0001,284.70544
2017-06-01,0,50.75,15.75,0001,288.4756
2017-07-01,0,50.75,15.75,0001,289.1776
2017-08-01,0,50.75,15.75,0001,289.5652
2017-09-01,0,50.75,15.75,0001,283.16382
2017-10-01,0,50.75,15.75,0001,281.10864
2017-11-01,0,50.75,15.75,0001,274.69067
2017-12-01,0,50.75,15.75,0001,271.75305
2018-01-01,0,50.75,15.75,0001,272.38586
2018-02-01,0,50.75,15.75,0001,266.88538
2018-03-01,0,50.75,15.75,0001,270.67273
2018-04-01,0,50.75,15.75,0001,283.14404
2018-05-01,0,50.75,15.75,0001,286.85938
2018-06-01,0,50.75,15.75,0001,288.05225
