time,realization,lat,lon,experimentVersionNumber,tp
1989-01-01 06:00:00,0,50.75,15.75,0001,0.0011968613
1989-02-01 06:00:00,0,50.75,15.75,0001,0.001376152
1989-03-01 06:00:00,0,50.75,15.75,0001,0.0019416809
1989-04-01 06:00:00,0,50.75,15.75,0001,0.0033359528
1989-05-01 06:00:00,0,50.75,15.75,0001,0.0024223328
1989-06-01 06:00:00,0,50.75,15.75,0001,0.004951477
1989-07-01 06:00:00,0,50.75,15.75,0001,0.003829956
1989-08-01 06:00:00,0,50.75,15.75,0001,0.004585266
1989-09-01 06:00:00,0,50.75,15.75,0001,0.0034675598
1989-10-01 06:00:00,0,50.75,15.75,0001,0.001947403
1989-11-01 06:00:00,0,50.75,15.75,0001,0.0032653809
1989-12-01 06:00:00,0,50.75,15.75,0001,0.002196312
1990-01-01 06:00:00,0,50.75,15.75,0001,0.0013532639
1990-02-01 06:00:00,0,50.75,15.75,0001,0.0025806427
1990-03-01 06:00:00,0,50.75,15.75,0001,0.0021915436
1990-04-01 06:00:00,0,50.75,15.75,0001,0.003019333
1990-05-01 06:00:00,0,50.75,15.75,0001,0.0029621124
1990-06-01 06:00:00,0,50.75,15.75,0001,0.0054531097
1990-07-01 06:00:00,0,50.75,15.75,0001,0.0016517639
1990-08-01 06:00:00,0,50.75,15.75,0001,0.0034389496
1990-09-01 06:00:00,0,50.75,15.75,0001,0.00412941
1990-10-01 06:00:00,0,50.75,15.75,0001,0.0015678406
1990-11-01 06:00:00,0,50.75,15.75,0001,0.0032482147
1990-12-01 06:00:00,0,50.75,15.75,0001,0.0024585724
1991-01-01 06:00:00,0,50.75,15.75,0001,0.0015964508
1991-02-01 06:00:00,0,50.75,15.75,0001,0.001036644
1991-03-01 06:00:00,0,50.75,15.75,0001,0.0017204285
1991-04-01 06:00:00,0,50.75,15.75,0001,0.0031013489
1991-05-01 06:00:00,0,50.75,15.75,0001,0.0038414001
1991-06-01 06:00:00,0,50.75,15.75,0001,0.0056209564
1991-07-01 06:00:00,0,50.75,15.75,0001,0.0027809143
1991-08-01 06:00:00,0,50.75,15.75,0001,0.0025100708
1991-09-01 06:00:00,0,50.75,15.75,0001,0.0019569397
1991-10-01 06:00:00,0,50.75,15.75,0001,0.0015945435
1991-11-01 06:00:00,0,50.75,15.75,0001,0.0024757385
1991-12-01 06:00:00,0,50.75,15.75,0001,0.004098892
1992-01-01 06:00:00,0,50.75,15.75,0001,0.002357483
1992-02-01 06:00:00,0,50.75,15.75,0001,0.0029582977
1992-03-01 06:00:00,0,50.75,15.75,0001,0.004426956
1992-04-01 06:00:00,0,50.75,15.75,0001,0.001947403
1992-05-01 06:00:00,0,50.75,15.75,0001,0.002111435
1992-06-01 06:00:00,0,50.75,15.75,0001,0.004501343
1992-07-01 06:00:00,0,50.75,15.75,0001,0.004234314
1992-08-01 06:00:00,0,50.75,15.75,0001,0.002111435
1992-09-01 06:00:00,0,50.75,15.75,0001,0.0017280579
1992-10-01 06:00:00,0,50.75,15.75,0001,0.002620697
1992-11-01 06:00:00,0,50.75,15.75,0001,0.0022306442
1992-12-01 06:00:00,0,50.75,15.75,0001,0.0019483566
