time,realization,lat,lon,experimentVersionNumber,t2m
1989-01-01,0,51.0,18.0,0001,274.45618
1989-02-01,0,51.0,18.0,0001,276.93323
1989-03-01,0,51.0,18.0,0001,279.49377
1989-04-01,0,51.0,18.0,0001,282.52734
1989-05-01,0,51.0,18.0,0001,287.6001
1989-06-01,0,51.0,18.0,0001,288.67688
1989-07-01,0,51.0,18.0,0001,292.21973
1989-08-01,0,51.0,18.0,0001,291.90283
1989-09-01,0,51.0,18.0,0001,288.69885
1989-10-01,0,51.0,18.0,0001,284.03027
1989-11-01,0,51.0,18.0,0001,275.11206
1989-12-01,0,51.0,18.0,0001,274.68616
1990-01-01,0,51.0,18.0,0001,274.83606
1990-02-01,0,51.0,18.0,0001,278.396
1990-03-01,0,51.0,18.0,0001,280.59875
1990-04-01,0,51.0,18.0,0001,281.3694
1990-05-01,0,51.0,18.0,0001,287.46802
1990-06-01,0,51.0,18.0,0001,289.7273
1990-07-01,0,51.0,18.0,0001,290.34778
1990-08-01,0,51.0,18.0,0001,291.77307
1990-09-01,0,51.0,18.0,0001,284.724
1990-10-01,0,51.0,18.0,0001,282.96436
1990-11-01,0,51.0,18.0,0001,277.8938
1990-12-01,0,51.0,18.0,0001,273.24902
1991-01-01,0,51.0,18.0,0001,273.4115
1991-02-01,0,51.0,18.0,0001,269.45776
1991-03-01,0,51.0,18.0,0001,278.7572
1991-04-01,0,51.0,18.0,0001,281.141
1991-05-01,0,51.0,18.0,0001,283.0138
1991-06-01,0,51.0,18.0,0001,288.36865
1991-07-01,0,51.0,18.0,0001,292.69434
1991-08-01,0,51.0,18.0,0001,291.21155
1991-09-01,0,51.0,18.0,0001,288.0713
1991-10-01,0,51.0,18.0,0001,281.33008
1991-11-01,0,51.0,18.0,0001,276.8181
1991-12-01,0,51.0,18.0,0001,272.18848
1992-01-01,0,51.0,18.0,0001,272.92725
1992-02-01,0,51.0,18.0,0001,275.17078
1992-03-01,0,51.0,18.0,0001,277.02747
1992-04-01,0,51.0,18.0,0001,281.5155
1992-05-01,0,51.0,18.0,0001,286.93408
1992-06-01,0,51.0,18.0,0001,291.87842
1992-07-01,0,51.0,18.0,0001,293.0332
1992-08-01,0,51.0,18.0,0001,295.37354
1992-09-01,0,51.0,18.0,0001,287.06653
1992-10-01,0,51.0,18.0,0001,279.90918
1992-11-01,0,51.0,18.0,0001,277.32642
1992-12-01,0,51.0,18.0,0001,272.60742
1993-01-01,0,51.0,18.0,0001,273.82275
1993-02-01,0,51.0,18.0,0001,271.96936
1993-03-01,0,51.0,18.0,0001,275.00903
1993-04-01,0,51.0,18.0,0001,282.77087
1993-05-01,0,51.0,18.0,0001,289.80127
1993-06-01,0,51.0,18.0,0001,289.19324
1993-07-01,0,51.0,18.0,0001,290.03784
