time,realization,lat,lon,experimentVersionNumber,t2m
1989-01-01,0,49.75,12.75,0001,273.1007
1989-02-01,0,49.75,12.75,0001,274.9723
1989-03-01,0,49.75,12.75,0001,278.97034
1989-04-01,0,49.75,12.75,0001,279.96875
1989-05-01,0,49.75,12.75,0001,285.72705
1989-06-01,0,49.75,12.75,0001,287.1515
1989-07-01,0,49.75,12.75,0001,289.97168
1989-08-01,0,49.75,12.75,0001,289.40088
1989-09-01,0,49.75,12.75,0001,286.47815
1989-10-01,0,49.75,12.75,0001,281.9287
1989-11-01,0,49.75,12.75,0001,273.57104
1989-12-01,0,49.75,12.75,0001,273.36584
1990-01-01,0,49.75,12.75,0001,272.34583
1990-02-01,0,49.75,12.75,0001,276.3413
1990-03-01,0,49.75,12.75,0001,278.76672
1990-04-01,0,49.75,12.75,0001,279.02368
1990-05-01,0,49.75,12.75,0001,286.10864
1990-06-01,0,49.75,12.75,0001,287.6316
1990-07-01,0,49.75,12.75,0001,288.8634
1990-08-01,0,49.75,12.75,0001,290.99963
1990-09-01,0,49.75,12.75,0001,283.6615
1990-10-01,0,49.75,12.75,0001,281.08154
1990-11-01,0,49.75,12.75,0001,275.8977
1990-12-01,0,49.75,12.75,0001,271.083
1991-01-01,0,49.75,12.75,0001,272.86658
1991-02-01,0,49.75,12.75,0001,268.15503
1991-03-01,0,49.75,12.75,0001,277.47595
1991-04-01,0,49.75,12.75,0001,278.75037
1991-05-01,0,49.75,12.75,0001,281.31262
1991-06-01,0,49.75,12.75,0001,286.06592
1991-07-01,0,49.75,12.75,0001,291.22754
1991-08-01,0,49.75,12.75,0001,290.01233
1991-09-01,0,49.75,12.75,0001,286.8994
1991-10-01,0,49.75,12.75,0001,279.7168
1991-11-01,0,49.75,12.75,0001,275.13647
1991-12-01,0,49.75,12.75,0001,271.44238
1992-01-01,0,49.75,12.75,0001,272.3296
1992-02-01,0,49.75,12.75,0001,274.11804
1992-03-01,0,49.75,12.75,0001,276.09778
1992-04-01,0,49.75,12.75,0001,279.65808
1992-05-01,0,49.75,12.75,0001,286.38525
1992-06-01,0,49.75,12.75,0001,289.03662
1992-07-01,0,49.75,12.75,0001,290.9336
1992-08-01,0,49.75,12.75,0001,292.61182
1992-09-01,0,49.75,12.75,0001,285.56067
1992-10-01,0,49.75,12.75,0001,278.87988
1992-11-01,0,49.75,12.75,0001,276.56665
1992-12-01,0,49.75,12.75,0001,271.42383
1993-01-01,0,49.75,12.75,0001,273.0923
1993-02-01,0,49.75,12.75,0001,268.86194
1993-03-01,0,49.75,12.75,0001,274.7942
1993-04-01,0,49.75,12.75,0001,282.34314
1993-05-01,0,49.75,12.75,0001,287.3872
1993-06-01,0,49.75,12.75,0001,287.83777
1993-07-01,0,49.75,12.75,0001,288.53784
1993-08-01,0,49.75,12.75,0001,288.9154
1993-09-01,0,49.75,12.75,0001,284.7306
1993-10-01,0,49.75,12.75,0001,279.8518
1993-11-01,0,49.75,12.75,0001,272.2063
1993-12-01,0,49.75,12.75,0001,274.86243
1994-01-01,0,49.75,12.75,0001,274.49597
1994-02-01,0,49.75,12.75,0001,272.03394
1994-03-01,0,49.75,12.75,0001,278.66272
1994-04-01,0,49.75,12.75,0001,279.64392
1994-05-01,0,49.75,12.75,0001,284.96057
1994-06-01,0,49.75,12.75,0001,288.90344
1994-07-01,0,49.75,12.75,0001,293.84387
1994-08-01,0,49.75,12.75,0001,290.45654
1994-09-01,0,49.75,12.75,0001,285.77576
1994-10-01,0,49.75,12.75,0001,279.1626
1994-11-01,0,49.75,12.75,0001,278.62
1994-12-01,0,49.75,12.75,0001,274.46704
1995-01-01,0,49.75,12.75,0001,270.6532
1995-02-01,0,49.75,12.75,0001,275.828
1995-03-01,0,49.75,12.75,0001,274.96204
1995-04-01,0,49.75,12.75,0001,280.9126
1995-05-01,0,49.75,12.75,0001,284.8341
1995-06-01,0,49.75,12.75,0001,286.41357
1995-07-01,0,49.75,12.75,0001,292.40747
1995-08-01,0,49.75,12.75,0001,289.8147
1995-09-01,0,49.75,12.75,0001,284.56128
1995-10-01,0,49.75,12.75,0001,283.1338
1995-11-01,0,49.75,12.75,0001,273.53027
1995-12-01,0,49.75,12.75,0001,270.3612
1996-01-01,0,49.75,12.75,0001,268.17664
1996-02-01,0,49.75,12.75,0001,268.51355
1996-03-01,0,49.75,12.75,0001,271.91284
1996-04-01,0,49.75,12.75,0001,280.12866
1996-05-01,0,49.75,12.75,0001,284.24878
1996-06-01,0,49.75,12.75,0001,288.38623
1996-07-01,0,49.75,12.75,0001,287.88196
1996-08-01,0,49.75,12.75,0001,288.83154
1996-09-01,0,49.75,12.75,0001,282.66016
1996-10-01,0,49.75,12.75,0001,281.2716
1996-11-01,0,49.75,12.75,0001,276.4568
1996-12-01,0,49.75,12.75,0001,267.98865
1997-01-01,0,49.75,12.75,0001,268.36755
1997-02-01,0,49.75,12.75,0001,275.03845
1997-03-01,0,49.75,12.75,0001,277.8114
1997-04-01,0,49.75,12.75,0001,277.97583
1997-05-01,0,49.75,12.75,0001,285.59802
1997-06-01,0,49.75,12.75,0001,288.13245
1997-07-01,0,49.75,12.75,0001,288.97424
1997-08-01,0,49.75,12.75,0001,291.26917
1997-09-01,0,49.75,12.75,0001,286.03027
1997-10-01,0,49.75,12.75,0001,279.21472
1997-11-01,0,49.75,12.75,0001,275.33264
1997-12-01,0,49.75,12.75,0001,273.53223
1998-01-01,0,49.75,12.75,0001,273.27124
1998-02-01,0,49.75,12.75,0001,275.3877
1998-03-01,0,49.75,12.75,0001,276.40637
1998-04-01,0,49.75,12.75,0001,281.5681
1998-05-01,0,49.75,12.75,0001,286.3777
1998-06-01,0,49.75,12.75,0001,289.40417
1998-07-01,0,49.75,12.75,0001,289.05457
1998-08-01,0,49.75,12.75,0001,289.7151
1998-09-01,0,49.75,12.75,0001,285.06702
1998-10-01,0,49.75,12.75,0001,280.9176
1998-11-01,0,49.75,12.75,0001,273.38074
1998-12-01,0,49.75,12.75,0001,271.57837
1999-01-01,0,49.75,12.75,0001,272.8722
1999-02-01,0,49.75,12.75,0001,270.81897
1999-03-01,0,49.75,12.75,0001,277.25635
1999-04-01,0,49.75,12.75,0001,280.81946
1999-05-01,0,49.75,12.75,0001,286.22498
1999-06-01,0,49.75,12.75,0001,287.3579
1999-07-01,0,49.75,12.75,0001,291.0785
1999-08-01,0,49.75,12.75,0001,289.4264
1999-09-01,0,49.75,12.75,0001,288.95142
1999-10-01,0,49.75,12.75,0001,280.61523
1999-11-01,0,49.75,12.75,0001,274.34888
1999-12-01,0,49.75,12.75,0001,272.7223
2000-01-01,0,49.75,12.75,0001,270.6134
2000-02-01,0,49.75,12.75,0001,275.10815
2000-03-01,0,49.75,12.75,0001,276.813
2000-04-01,0,49.75,12.75,0001,282.61096
2000-05-01,0,49.75,12.75,0001,287.07214
2000-06-01,0,49.75,12.75,0001,289.74402
2000-07-01,0,49.75,12.75,0001,287.72217
2000-08-01,0,49.75,12.75,0001,290.7428
2000-09-01,0,49.75,12.75,0001,285.65173
2000-10-01,0,49.75,12.75,0001,282.46912
2000-11-01,0,49.75,12.75,0001,277.14954
2000-12-01,0,49.75,12.75,0001,273.4292
2001-01-01,0,49.75,12.75,0001,270.5249
2001-02-01,0,49.75,12.75,0001,273.55164
2001-03-01,0,49.75,12.75,0001,276.5061
2001-04-01,0,49.75,12.75,0001,279.2185
2001-05-01,0,49.75,12.75,0001,286.89832
2001-06-01,0,49.75,12.75,0001,286.52148
2001-07-01,0,49.75,12.75,0001,290.33362
2001-08-01,0,49.75,12.75,0001,290.77087
2001-09-01,0,49.75,12.75,0001,283.53784
2001-10-01,0,49.75,12.75,0001,284.13782
2001-11-01,0,49.75,12.75,0001,274.6632
2001-12-01,0,49.75,12.75,0001,270.37476
2002-01-01,0,49.75,12.75,0001,271.09473
2002-02-01,0,49.75,12.75,0001,276.38965
2002-03-01,0,49.75,12.75,0001,276.93823
2002-04-01,0,49.75,12.75,0001,279.92053
2002-05-01,0,49.75,12.75,0001,286.80408
2002-06-01,0,49.75,12.75,0001,290.0459
2002-07-01,0,49.75,12.75,0001,290.3026
2002-08-01,0,49.75,12.75,0001,290.9944
2002-09-01,0,49.75,12.75,0001,284.7174
2002-10-01,0,49.75,12.75,0001,280.02295
2002-11-01,0,49.75,12.75,0001,277.12708
2002-12-01,0,49.75,12.75,0001,271.52148
2003-01-01,0,49.75,12.75,0001,271.12854
2003-02-01,0,49.75,12.75,0001,268.4862
2003-03-01,0,49.75,12.75,0001,277.18945
2003-04-01,0,49.75,12.75,0001,280.22607
2003-05-01,0,49.75,12.75,0001,287.26978
2003-06-01,0,49.75,12.75,0001,292.4386
2003-07-01,0,49.75,12.75,0001,291.0996
2003-08-01,0,49.75,12.75,0001,293.91724
2003-09-01,0,49.75,12.75,0001,286.4851
2003-10-01,0,49.75,12.75,0001,277.77856
2003-11-01,0,49.75,12.75,0001,276.85876
2003-12-01,0,49.75,12.75,0001,272.51416
2004-01-01,0,49.75,12.75,0001,269.91223
2004-02-01,0,49.75,12.75,0001,273.80273
2004-03-01,0,49.75,12.75,0001,275.08386
2004-04-01,0,49.75,12.75,0001,281.46814
2004-05-01,0,49.75,12.75,0001,283.72998
2004-06-01,0,49.75,12.75,0001,287.6942
2004-07-01,0,49.75,12.75,0001,289.56982
2004-08-01,0,49.75,12.75,0001,290.70032
2004-09-01,0,49.75,12.75,0001,285.93018
2004-10-01,0,49.75,12.75,0001,281.6952
2004-11-01,0,49.75,12.75,0001,275.92212
2004-12-01,0,49.75,12.75,0001,271.96484
2005-01-01,0,49.75,12.75,0001,272.8772
2005-02-01,0,49.75,12.75,0001,269.24915
2005-03-01,0,49.75,12.75,0001,274.50977
2005-04-01,0,49.75,12.75,0001,281.6289
2005-05-01,0,49.75,12.75,0001,285.64905
2005-06-01,0,49.75,12.75,0001,289.2378
2005-07-01,0,49.75,12.75,0001,290.5797
2005-08-01,0,49.75,12.75,0001,288.265
2005-09-01,0,49.75,12.75,0001,287.1454
2005-10-01,0,49.75,12.75,0001,282.18066
2005-11-01,0,49.75,12.75,0001,274.67053
2005-12-01,0,49.75,12.75,0001,271.51648
2006-01-01,0,49.75,12.75,0001,267.2444
2006-02-01,0,49.75,12.75,0001,269.98474
2006-03-01,0,49.75,12.75,0001,273.61816
2006-04-01,0,49.75,12.75,0001,280.78662
2006-05-01,0,49.75,12.75,0001,285.35938
2006-06-01,0,49.75,12.75,0001,289.3922
2006-07-01,0,49.75,12.75,0001,293.8994
2006-08-01,0,49.75,12.75,0001,287.44812
2006-09-01,0,49.75,12.75,0001,288.59045
2006-10-01,0,49.75,12.75,0001,283.28052
2006-11-01,0,49.75,12.75,0001,277.9347
2006-12-01,0,49.75,12.75,0001,275.162
2007-01-01,0,49.75,12.75,0001,276.07654
2007-02-01,0,49.75,12.75,0001,275.86572
2007-03-01,0,49.75,12.75,0001,278.0354
2007-04-01,0,49.75,12.75,0001,283.47437
2007-05-01,0,49.75,12.75,0001,286.76514
2007-06-01,0,49.75,12.75,0001,290.16846
2007-07-01,0,49.75,12.75,0001,290.04956
2007-08-01,0,49.75,12.75,0001,289.5359
2007-09-01,0,49.75,12.75,0001,284.25085
2007-10-01,0,49.75,12.75,0001,280.03564
2007-11-01,0,49.75,12.75,0001,273.86255
2007-12-01,0,49.75,12.75,0001,272.61975
2008-01-01,0,49.75,12.75,0001,274.2804
2008-02-01,0,49.75,12.75,0001,275.64966
2008-03-01,0,49.75,12.75,0001,275.62988
2008-04-01,0,49.75,12.75,0001,280.18213
2008-05-01,0,49.75,12.75,0001,286.47888
2008-06-01,0,49.75,12.75,0001,289.84607
2008-07-01,0,49.75,12.75,0001,290.4214
2008-08-01,0,49.75,12.75,0001,289.7362
2008-09-01,0,49.75,12.75,0001,284.40137
2008-10-01,0,49.75,12.75,0001,280.71472
2008-11-01,0,49.75,12.75,0001,276.41846
2008-12-01,0,49.75,12.75,0001,272.79675
2009-01-01,0,49.75,12.75,0001,268.57898
2009-02-01,0,49.75,12.75,0001,271.35278
2009-03-01,0,49.75,12.75,0001,275.65063
2009-04-01,0,49.75,12.75,0001,284.57642
2009-05-01,0,49.75,12.75,0001,286.1078
2009-06-01,0,49.75,12.75,0001,287.37463
2009-07-01,0,49.75,12.75,0001,290.3225
2009-08-01,0,49.75,12.75,0001,291.18506
2009-09-01,0,49.75,12.75,0001,287.31128
2009-10-01,0,49.75,12.75,0001,280.05176
2009-11-01,0,49.75,12.75,0001,278.26038
2009-12-01,0,49.75,12.75,0001,271.52747
2010-01-01,0,49.75,12.75,0001,267.9336
2010-02-01,0,49.75,12.75,0001,270.9004
2010-03-01,0,49.75,12.75,0001,275.19666
2010-04-01,0,49.75,12.75,0001,280.8568
2010-05-01,0,49.75,12.75,0001,283.62537
2010-06-01,0,49.75,12.75,0001,289.07397
2010-07-01,0,49.75,12.75,0001,292.6317
2010-08-01,0,49.75,12.75,0001,289.1394
2010-09-01,0,49.75,12.75,0001,283.93298
2010-10-01,0,49.75,12.75,0001,279.1034
2010-11-01,0,49.75,12.75,0001,276.9259
2010-12-01,0,49.75,12.75,0001,267.78418
2011-01-01,0,49.75,12.75,0001,272.19836
2011-02-01,0,49.75,12.75,0001,271.17908
2011-03-01,0,49.75,12.75,0001,277.34485
2011-04-01,0,49.75,12.75,0001,283.52368
2011-05-01,0,49.75,12.75,0001,286.31116
2011-06-01,0,49.75,12.75,0001,289.17004
2011-07-01,0,49.75,12.75,0001,288.40015
2011-08-01,0,49.75,12.75,0001,290.38354
2011-09-01,0,49.75,12.75,0001,287.39514
2011-10-01,0,49.75,12.75,0001,280.8169
2011-11-01,0,49.75,12.75,0001,275.45166
2011-12-01,0,49.75,12.75,0001,274.96362
2012-01-01,0,49.75,12.75,0001,273.03735
2012-02-01,0,49.75,12.75,0001,267.95825
2012-03-01,0,49.75,12.75,0001,278.78662
2012-04-01,0,49.75,12.75,0001,280.7975
2012-05-01,0,49.75,12.75,0001,286.96594
2012-06-01,0,49.75,12.75,0001,288.99573
2012-07-01,0,49.75,12.75,0001,290.34998
2012-08-01,0,49.75,12.75,0001,290.98132
2012-09-01,0,49.75,12.75,0001,286.0453
2012-10-01,0,49.75,12.75,0001,279.92212
2012-11-01,0,49.75,12.75,0001,276.79126
2012-12-01,0,49.75,12.75,0001,272.4585
2013-01-01,0,49.75,12.75,0001,271.82764
2013-02-01,0,49.75,12.75,0001,270.7649
2013-03-01,0,49.75,12.75,0001,272.136
2013-04-01,0,49.75,12.75,0001,280.50806
2013-05-01,0,49.75,12.75,0001,284.06287
2013-06-01,0,49.75,12.75,0001,288.2329
2013-07-01,0,49.75,12.75,0001,292.49194
2013-08-01,0,49.75,12.75,0001,290.20032
2013-09-01,0,49.75,12.75,0001,285.10095
2013-10-01,0,49.75,12.75,0001,281.49402
2013-11-01,0,49.75,12.75,0001,276.29993
2013-12-01,0,49.75,12.75,0001,274.031
2014-01-01,0,49.75,12.75,0001,273.56824
2014-02-01,0,49.75,12.75,0001,274.80896
2014-03-01,0,49.75,12.75,0001,279.13135
2014-04-01,0,49.75,12.75,0001,283.0913
2014-05-01,0,49.75,12.75,0001,284.60278
2014-06-01,0,49.75,12.75,0001,288.9192
2014-07-01,0,49.75,12.75,0001,291.5802
2014-08-01,0,49.75,12.75,0001,288.32422
2014-09-01,0,49.75,12.75,0001,286.98743
2014-10-01,0,49.75,12.75,0001,283.3756
2014-11-01,0,49.75,12.75,0001,278.01843
2014-12-01,0,49.75,12.75,0001,274.55078
2015-01-01,0,49.75,12.75,0001,273.81555
2015-02-01,0,49.75,12.75,0001,271.98108
2015-03-01,0,49.75,12.75,0001,277.3672
2015-04-01,0,49.75,12.75,0001,280.56262
2015-05-01,0,49.75,12.75,0001,285.27832
2015-06-01,0,49.75,12.75,0001,288.59363
2015-07-01,0,49.75,12.75,0001,292.84473
2015-08-01,0,49.75,12.75,0001,293.72034
2015-09-01,0,49.75,12.75,0001,285.29175
2015-10-01,0,49.75,12.75,0001,280.31543
2015-11-01,0,49.75,12.75,0001,278.88196
2015-12-01,0,49.75,12.75,0001,277.48682
2016-01-01,0,49.75,12.75,0001,271.9712
2016-02-01,0,49.75,12.75,0001,275.47986
2016-03-01,0,49.75,12.75,0001,275.81494
2016-04-01,0,49.75,12.75,0001,280.40454
2016-05-01,0,49.75,12.75,0001,285.96362
2016-06-01,0,49.75,12.75,0001,289.55188
2016-07-01,0,49.75,12.75,0001,291.14636
2016-08-01,0,49.75,12.75,0001,290.0282
2016-09-01,0,49.75,12.75,0001,288.80212
2016-10-01,0,49.75,12.75,0001,280.4685
2016-11-01,0,49.75,12.75,0001,275.04224
2016-12-01,0,49.75,12.75,0001,272.8933
2017-01-01,0,49.75,12.75,0001,267.12195
2017-02-01,0,49.75,12.75,0001,274.31738
2017-03-01,0,49.75,12.75,0001,279.12732
2017-04-01,0,49.75,12.75,0001,279.70325
2017-05-01,0,49.75,12.75,0001,286.68982
2017-06-01,0,49.75,12.75,0001,290.69043
2017-07-01,0,49.75,12.75,0001,291.04285
2017-08-01,0,49.75,12.75,0001,291.04175
2017-09-01,0,49.75,12.75,0001,284.22632
2017-10-01,0,49.75,12.75,0001,282.75317
2017-11-01,0,49.75,12.75,0001,276.25122
2017-12-01,0,49.75,12.75,0001,273.40344
2018-01-01,0,49.75,12.75,0001,275.11047
2018-02-01,0,49.75,12.75,0001,269.49866
2018-03-01,0,49.75,12.75,0001,274.0321
2018-04-01,0,49.75,12.75,0001,285.2339
2018-05-01,0,49.75,12.75,0001,288.5586
2018-06-01,0,49.75,12.75,0001,290.187
2018-07-01,0,49.75,12.75,0001,292.4198
2018-08-01,0,49.75,12.75,0001,292.9386
2018-09-01,0,49.75,12.75,0001,287.29333
2018-10-01,0,49.75,12.75,0001,282.60034
2018-11-01,0,49.75,12.75,0001,276.45312
2018-12-01,0,49.75,12.75,0001,274.78918
2019-01-01,0,49.75,12.75,0001,271.60107
2019-02-01,0,49.75,12.75,0001,274.40662
2019-03-01,0,49.75,12.75,0001,278.57642
2019-04-01,0,49.75,12.75,0001,282.0426
2019-05-01,0,49.75,12.75,0001,283.30115
2019-06-01,0,49.75,12.75,0001,293.05286
2019-07-01,0,49.75,12.75,0001,292.0608
2019-08-01,0,49.75,12.75,0001,291.52234
2019-09-01,0,49.75,12.75,0001,286.2445
2019-10-01,0,49.75,12.75,0001,282.5116
2019-11-01,0,49.75,12.75,0001,277.12756
2019-12-01,0,49.75,12.75,0001,274.83167
2020-01-01,0,49.75,12.75,0001,273.80066
2020-02-01,0,49.75,12.75,0001,276.66614
2020-03-01,0,49.75,12.75,0001,276.97705
2020-04-01,0,49.75,12.75,0001,282.61243
2020-05-01,0,49.75,12.75,0001,284.02734
2020-06-01,0,49.75,12.75,0001,288.8584
