time,realization,lat,lon,experimentVersionNumber,tp
1989-01-01 06:00:00,0,49.75,12.75,0001,0.0009536743
1989-02-01 06:00:00,0,49.75,12.75,0001,0.0012655258
1989-03-01 06:00:00,0,49.75,12.75,0001,0.0018491745
1989-04-01 06:00:00,0,49.75,12.75,0001,0.0023269653
1989-05-01 06:00:00,0,49.75,12.75,0001,0.0018177032
1989-06-01 06:00:00,0,49.75,12.75,0001,0.0028457642
1989-07-01 06:00:00,0,49.75,12.75,0001,0.0035648346
1989-08-01 06:00:00,0,49.75,12.75,0001,0.0024681091
1989-09-01 06:00:00,0,49.75,12.75,0001,0.002796173
1989-10-01 06:00:00,0,49.75,12.75,0001,0.0015506744
1989-11-01 06:00:00,0,49.75,12.75,0001,0.0015640259
1989-12-01 06:00:00,0,49.75,12.75,0001,0.002202034
1990-01-01 06:00:00,0,49.75,12.75,0001,0.0010566711
1990-02-01 06:00:00,0,49.75,12.75,0001,0.0029420853
1990-03-01 06:00:00,0,49.75,12.75,0001,0.0012397766
1990-04-01 06:00:00,0,49.75,12.75,0001,0.0027256012
1990-05-01 06:00:00,0,49.75,12.75,0001,0.0013313293
1990-06-01 06:00:00,0,49.75,12.75,0001,0.0029144287
1990-07-01 06:00:00,0,49.75,12.75,0001,0.0015487671
1990-08-01 06:00:00,0,49.75,12.75,0001,0.0021591187
1990-09-01 06:00:00,0,49.75,12.75,0001,0.0021343231
1990-10-01 06:00:00,0,49.75,12.75,0001,0.0015411377
1990-11-01 06:00:00,0,49.75,12.75,0001,0.003118515
1990-12-01 06:00:00,0,49.75,12.75,0001,0.0014896393
1991-01-01 06:00:00,0,49.75,12.75,0001,0.0011100769
1991-02-01 06:00:00,0,49.75,12.75,0001,0.0008430481
1991-03-01 06:00:00,0,49.75,12.75,0001,0.0009822845
1991-04-01 06:00:00,0,49.75,12.75,0001,0.0016956329
1991-05-01 06:00:00,0,49.75,12.75,0001,0.0023593903
1991-06-01 06:00:00,0,49.75,12.75,0001,0.0043640137
1991-07-01 06:00:00,0,49.75,12.75,0001,0.0018119812
1991-08-01 06:00:00,0,49.75,12.75,0001,0.0025367737
1991-09-01 06:00:00,0,49.75,12.75,0001,0.0013866425
1991-10-01 06:00:00,0,49.75,12.75,0001,0.00062561035
1991-11-01 06:00:00,0,49.75,12.75,0001,0.002161026
1991-12-01 06:00:00,0,49.75,12.75,0001,0.0023117065
1992-01-01 06:00:00,0,49.75,12.75,0001,0.0011806488
