time,realization,lat,lon,experimentVersionNumber,tp
1996-01-01 06:00:00,0,51.0,18.0,0001,0.00071144104
1996-02-01 06:00:00,0,51.0,18.0,0001,0.0011100769
1996-03-01 06:00:00,0,51.0,18.0,0001,0.001115799
1996-04-01 06:00:00,0,51.0,18.0,0001,0.0014247894
1996-05-01 06:00:00,0,51.0,18.0,0001,0.0032539368
1996-06-01 06:00:00,0,51.0,18.0,0001,0.0024471283
1996-07-01 06:00:00,0,51.0,18.0,0001,0.0038776398
1996-08-01 06:00:00,0,51.0,18.0,0001,0.0016059875
1996-09-01 06:00:00,0,51.0,18.0,0001,0.0031261444
1996-10-01 06:00:00,0,51.0,18.0,0001,0.0014038086
1996-11-01 06:00:00,0,51.0,18.0,0001,0.0011901855
1996-12-01 06:00:00,0,51.0,18.0,0001,0.0005054474
1997-01-01 06:00:00,0,51.0,18.0,0001,0.00042915344
1997-02-01 06:00:00,0,51.0,18.0,0001,0.0017566681
1997-03-01 06:00:00,0,51.0,18.0,0001,0.00097084045
1997-04-01 06:00:00,0,51.0,18.0,0001,0.0017967224
1997-05-01 06:00:00,0,51.0,18.0,0001,0.0023078918
1997-06-01 06:00:00,0,51.0,18.0,0001,0.002878189
1997-07-01 06:00:00,0,51.0,18.0,0001,0.008804321
1997-08-01 06:00:00,0,51.0,18.0,0001,0.0025253296
1997-09-01 06:00:00,0,51.0,18.0,0001,0.0016269684
1997-10-01 06:00:00,0,51.0,18.0,0001,0.0022830963
1997-11-01 06:00:00,0,51.0,18.0,0001,0.0019874573
1997-12-01 06:00:00,0,51.0,18.0,0001,0.001449585
1998-01-01 06:00:00,0,51.0,18.0,0001,0.0019683838
1998-02-01 06:00:00,0,51.0,18.0,0001,0.0014629364
1998-03-01 06:00:00,0,51.0,18.0,0001,0.002035141
1998-04-01 06:00:00,0,51.0,18.0,0001,0.00141716
1998-05-01 06:00:00,0,51.0,18.0,0001,0.0009994507
1998-06-01 06:00:00,0,51.0,18.0,0001,0.0025482178
1998-07-01 06:00:00,0,51.0,18.0,0001,0.003566742
1998-08-01 06:00:00,0,51.0,18.0,0001,0.002281189
1998-09-01 06:00:00,0,51.0,18.0,0001,0.0035877228
1998-10-01 06:00:00,0,51.0,18.0,0001,0.0038070679
1998-11-01 06:00:00,0,51.0,18.0,0001,0.0015125275
1998-12-01 06:00:00,0,51.0,18.0,0001,0.0011720657
